[+] copy_from_user symbols: 224
[+] sweep done: 96819 bl sites, funcs with subs: 17777
[+] copy_from_user call sites: 645

===== 鏍″噯閿氱偣 =====
__arm64_sys_select             depth=0x080 (鏈熸湜 0x1f0) __arm64_sys_select(0x80)

===== 鏍堢洰鏍囧€欓€? 433 涓?=====
func                                           frame  imm      size     depth(s)
snd_pcm_ioctl_sync_ptr_buggy                   0xe0   sp+0x48  0x8      
snd_rawmidi_ioctl                              0x80   sp+0x10  0x38     
snd_rawmidi_ioctl                              0x80   sp+0x10  0x30     
snd_compr_ioctl                                0x110  sp+0x0   0x24     
snd_compr_ioctl                                0x110  sp+0x0   0x24     
sock_ioctl                                     0x80   sp+0x10  0x20     
sock_ioctl                                     0x80   sp+0x10  0x28     
compat_sock_ioctl                              0x70   sp+0x10  0x8      
compat_ifr_data_ioctl                          0x60   sp+0x0   0x10     
sendmsg_copy_msghdr                            0x60   sp+0x0   0x1c     
dev_ifsioc                                     0x70   sp+0x8   UNKNOWN  
dev_ethtool                                    0x130  sp+0x4   0x4      
dev_ethtool                                    0x130  sp+0x0   0x4      
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x68  0x8      
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x14     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x68  0x2c     
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x24     
dev_ethtool                                    0x130  sp+0x8   0xc      
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0xc      
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x28     
dev_ethtool                                    0x130  sp+0x8   0x30     
dev_ethtool                                    0x130  sp+0x68  0x54     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x2c     
dev_ethtool                                    0x130  sp+0x8   0x30     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x10     
dev_ethtool                                    0x130  sp+0x8   0x8      
dev_ethtool                                    0x130  sp+0x8   0x8      
xt_copy_counters                               0x70   sp+0x0   0x28     
quota_proc_write                               0x50   sp+0x0   UNKNOWN  
ip_setsockopt                                  0x240  sp+0xc   0x4      
ip_setsockopt                                  0x240  sp+0x20  0x1      
ip_setsockopt                                  0x240  sp+0x20  0xc      
ip_setsockopt                                  0x240  sp+0x20  0x108    
ip_setsockopt                                  0x240  sp+0x128 0x104    
ip_setsockopt                                  0x240  sp+0x20  0x88     
ip_setsockopt                                  0x240  sp+0x20  0x84     
ip_setsockopt                                  0x240  sp+0x20  0x8      
do_tcp_setsockopt                              0xa0   sp+0x18  UNKNOWN  
do_tcp_setsockopt                              0xa0   sp+0xc   0x4      
do_tcp_setsockopt                              0xa0   sp+0x18  0x14     
do_tcp_setsockopt                              0xa0   sp+0x18  0x8      
udp_lib_setsockopt                             0x50   sp+0x4   UNKNOWN  
arp_ioctl                                      0xb0   sp+0x10  UNKNOWN  
inet_ioctl                                     0xe0   sp+0x8   0x78     
inet_compat_routing_ioctl                      0xb0   sp+0x8   0x30     
ip_tunnel_ioctl                                0x80   sp+0x10  arg2     
do_ipt_set_ctl                                 0x160  sp+0x30  0x60     
do_ipt_get_ctl                                 0x140  sp+0x58  0x1e     
do_ipt_get_ctl                                 0x140  sp+0x58  0x28     
do_ipt_get_ctl                                 0x140  sp+0x18  0x28     
do_arpt_set_ctl                                0x130  sp+0x20  0x50     
do_arpt_get_ctl                                0x120  sp+0x50  0x1e     
do_arpt_get_ctl                                0x120  sp+0x50  0x28     
do_arpt_get_ctl                                0x120  sp+0x10  0x28     
inet6_ioctl                                    0x90   sp+0x18  0x50     
addrconf_set_dstaddr                           0x80   sp+0x8   arg2     
do_ipv6_setsockopt                             0x270  sp+0x44  0x4      
do_ipv6_setsockopt                             0x270  sp+0x48  0x108    
do_ipv6_setsockopt                             0x270  sp+0x48  0x14     
do_ipv6_setsockopt                             0x270  sp+0x48  0x14     
do_ipv6_setsockopt                             0x270  sp+0x48  0x88     
do_ipv6_setsockopt                             0x270  sp+0x48  0x14     
do_ipv6_setsockopt                             0x270  sp+0x158 0x104    
do_ipv6_setsockopt                             0x270  sp+0x48  0x84     
rawv6_setsockopt                               0x50   sp+0x4   0x4      
ipv6_flowlabel_opt                             0x90   sp+0x8   0x20     
do_ip6t_set_ctl                                0x160  sp+0x30  0x60     
do_ip6t_get_ctl                                0x140  sp+0x58  0x1e     
do_ip6t_get_ctl                                0x140  sp+0x58  0x28     
do_ip6t_get_ctl                                0x140  sp+0x18  0x28     
vti6_ioctl                                     0x120  sp+0x60  UNKNOWN  
vti6_ioctl                                     0x120  sp+0x60  UNKNOWN  
vti6_ioctl                                     0x120  sp+0x60  UNKNOWN  
ipip6_tunnel_ioctl                             0xa0   sp+0x10  UNKNOWN  
ipip6_tunnel_get_prl                           0x70   sp+0x8   arg2     
ip6gre_tunnel_ioctl                            0x160  sp+0x68  UNKNOWN  
ip6gre_tunnel_ioctl                            0x160  sp+0x68  UNKNOWN  
ip6gre_tunnel_ioctl                            0x160  sp+0x68  UNKNOWN  
packet_setsockopt                              0xc0   sp+0x20  UNKNOWN  
packet_setsockopt                              0xc0   sp+0x20  0x1c     
packet_setsockopt                              0xc0   sp+0x20  UNKNOWN  
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x20  0x4      
packet_setsockopt                              0xc0   sp+0x8   0x4      
br_ioctl_deviceless_stub                       0x90   sp+0x20  0x18     
br_ioctl_deviceless_stub                       0x90   sp+0x20  0x10     
br_ioctl_deviceless_stub                       0x90   sp+0x10  0x10     
raw_setsockopt.76046                           0x80   sp+0xc   0x4      
raw_setsockopt.76046                           0x80   sp+0x10  0x8      
hci_inquiry                                    0x70   sp+0x8   0xa      
hci_get_conn_list                              0x50   sp+0x0   0x4      
hci_sock_ioctl                                 0x70   sp+0x10  0x6      
hci_sock_ioctl                                 0x70   sp+0x10  0x6      
hci_sock_setsockopt                            0x70   sp+0x4   0x4      
hci_sock_setsockopt                            0x70   sp+0x4   0x4      
hci_sock_setsockopt                            0x70   sp+0x8   UNKNOWN  
l2cap_sock_setsockopt                          0x70   sp+0xc   0x1      
l2cap_sock_setsockopt                          0x70   sp+0x14  0x4      
l2cap_sock_setsockopt                          0x70   sp+0x18  0x1      
l2cap_sock_setsockopt                          0x70   sp+0x14  0x4      
l2cap_sock_setsockopt                          0x70   sp+0x14  0x4      
l2cap_sock_setsockopt                          0x70   sp+0x10  0x2      
l2cap_sock_setsockopt_old                      0x60   sp+0x8   0xc      
