===== preload.so crash-safe log =====
path=/data/local/tmp/.temp/log_1788952722.txt tmp=- pid=6121 uid=2000
1788952722.290 6121 [+] preload starting pid=6121
1788952722.291 6121 [+] startup context pid=6121 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788952722.292 6121 [+] build config pid=6121 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788952722.292 6121 [+] p0 profile pid=6121 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788952722.293 6121 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788952722.296 6121 [+] ckpt: WRITE-PROOF armed bootid_store=ffffff8042ee9110 bootid_buf=ffffff8042ee910d before=31638d59-7c3a-4556-a71c-b20baa9b3a7e (odd: leaked scratch, even: aligned bootid+3)
1788952724.833 6121 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788952728.122 6121 [*] pile-up verified: approx_time=2848
1788952728.124 6121 [*] start finding collisisons
1788952728.125 6121 [*] target    0000007f6821b0c8
1788952749.462 6121 [*] [  4] tested 1900000 candidates, scanning=0xffffffa06a06da00
1788952749.464 6121 [*] [  1] tested 1500000 candidates, scanning=0xffffff8853b48f00
1788952749.464 6121 [*] [  7] tested 1100000 candidates, scanning=0xffffffb83d624740
1788952749.463 6121 [*] [  5] tested 1600000 candidates, scanning=0xffffffa8594921c0
1788952749.465 6121 [*] [  3] tested 1600000 candidates, scanning=0xffffff98594921c0
1788952749.465 6121 [*] [  0] tested 1600000 candidates, scanning=0xffffff80594921c0
1788952749.466 6121 [*] [  4] tested 2000000 candidates, scanning=0xffffffa06f9b6cc0
1788952749.467 6121 [*] [  2] tested 1700000 candidates, scanning=0xffffff905eddb480
1788952749.467 6121 [*] [  6] tested 1700000 candidates, scanning=0xffffffb05eddb480
1788952749.468 6121 [*] [  7] tested 1200000 candidates, scanning=0xffffffb842f6da00
1788952749.469 6121 [*] [  5] tested 1700000 candidates, scanning=0xffffffa85eddb480
1788952749.469 6121 [*] [  3] tested 1700000 candidates, scanning=0xffffff985eddb480
1788952749.470 6121 [*] [  6] tested 1800000 candidates, scanning=0xffffffb064724740
1788952749.471 6121 [*] [  0] tested 1700000 candidates, scanning=0xffffff805eddb480
1788952749.471 6121 [*] [  1] tested 1600000 candidates, scanning=0xffffff88594921c0
1788952749.471 6121 [*] [  2] tested 1800000 candidates, scanning=0xffffff9064724740
1788952749.473 6121 [*] [  7] tested 1300000 candidates, scanning=0xffffffb8488b6cc0
1788952749.473 6121 [*] [  6] tested 1900000 candidates, scanning=0xffffffb06a06da00
1788952749.474 6121 [*] [  5] tested 1800000 candidates, scanning=0xffffffa864724740
1788952749.475 6121 [*] [  0] tested 1800000 candidates, scanning=0xffffff8064724740
1788952749.475 6121 [*] [  3] tested 1800000 candidates, scanning=0xffffff9864724740
1788952749.476 6121 [*] [  4] tested 2100000 candidates, scanning=0xffffffa0752fff80
1788952749.477 6121 [*] [  2] tested 1900000 candidates, scanning=0xffffff906a06da00
1788952749.478 6121 [*] [  7] tested 1400000 candidates, scanning=0xffffffb84e1fff80
1788952749.478 6121 [*] [  5] tested 1900000 candidates, scanning=0xffffffa86a06da00
1788952749.479 6121 [*] [  6] tested 2000000 candidates, scanning=0xffffffb06f9b6cc0
1788952749.480 6121 [*] [  2] tested 2000000 candidates, scanning=0xffffff906f9b6cc0
1788952749.481 6121 [*] [  3] tested 1900000 candidates, scanning=0xffffff986a06da00
1788952749.481 6121 [*] [  5] tested 2000000 candidates, scanning=0xffffffa86f9b6cc0
1788952749.481 6121 [*] [  4] tested 2200000 candidates, scanning=0xffffffa07ac48f00
1788952749.482 6121 [*] [  1] tested 1700000 candidates, scanning=0xffffff885eddb480
1788952749.483 6121 [*] [  7] tested 1500000 candidates, scanning=0xffffffb853b48f00
1788952749.483 6121 [*] [  5] tested 2100000 candidates, scanning=0xffffffa8752fff80
1788952749.484 6121 [*] [  4] tested 2300000 candidates, scanning=0xffffffa0805921c0
1788952749.485 6121 [*] [  2] tested 2100000 candidates, scanning=0xffffff90752fff80
1788952749.486 6121 [*] [  3] tested 2000000 candidates, scanning=0xffffff986f9b6cc0
1788952749.487 6121 [*] [  1] tested 1800000 candidates, scanning=0xffffff8864724740
1788952749.487 6121 [*] [  6] tested 2100000 candidates, scanning=0xffffffb0752fff80
1788952749.488 6121 [*] [  0] tested 1900000 candidates, scanning=0xffffff806a06da00
1788952749.488 6121 [*] [  5] tested 2200000 candidates, scanning=0xffffffa87ac48f00
1788952749.489 6121 [*] [  3] tested 2100000 candidates, scanning=0xffffff98752fff80
1788952749.490 6121 [*] [  4] tested 2400000 candidates, scanning=0xffffffa085edb480
1788952749.490 6121 [*] [  7] tested 1600000 candidates, scanning=0xffffffb8594921c0
1788952749.491 6121 [*] [  6] tested 2200000 candidates, scanning=0xffffffb07ac48f00
1788952749.492 6121 [*] [  0] tested 2000000 candidates, scanning=0xffffff806f9b6cc0
1788952749.493 6121 [*] [  5] tested 2300000 candidates, scanning=0xffffffa8805921c0
1788952749.493 6121 [*] [  2] tested 2200000 candidates, scanning=0xffffff907ac48f00
1788952749.494 6121 [*] [  4] tested 2500000 candidates, scanning=0xffffffa08b824740
1788952749.495 6121 [*] [  7] tested 1700000 candidates, scanning=0xffffffb85eddb480
1788952749.495 6121 [*] [  2] tested 2300000 candidates, scanning=0xffffff90805921c0
1788952749.496 6121 [*] [  1] tested 1900000 candidates, scanning=0xffffff886a06da00
1788952749.496 6121 [*] [  3] tested 2200000 candidates, scanning=0xffffff987ac48f00
1788952749.497 6121 [*] [  6] tested 2300000 candidates, scanning=0xffffffb0805921c0
1788952749.498 6121 [*] [  5] tested 2400000 candidates, scanning=0xffffffa885edb480
1788952749.498 6121 [*] [  4] tested 2600000 candidates, scanning=0xffffffa09116da00
1788952749.499 6121 [*] [  0] tested 2100000 candidates, scanning=0xffffff80752fff80
1788952749.499 6121 [*] [  3] tested 2300000 candidates, scanning=0xffffff98805921c0
1788952749.500 6121 [*] [  2] tested 2400000 candidates, scanning=0xffffff9085edb480
1788952749.501 6121 [*] [  0] tested 2200000 candidates, scanning=0xffffff807ac48f00
1788952749.502 6121 [*] [  4] tested 2700000 candidates, scanning=0xffffffa096ab6cc0
1788952749.502 6121 [*] [  3] tested 2400000 candidates, scanning=0xffffff9885edb480
1788952749.503 6121 [*] [  7] tested 1800000 candidates, scanning=0xffffffb864724740
1788952749.503 6121 [*] [  6] tested 2400000 candidates, scanning=0xffffffb085edb480
1788952749.505 6121 [*] [  1] tested 2000000 candidates, scanning=0xffffff886f9b6cc0
1788952749.505 6121 [*] [  4] tested 2800000 candidates, scanning=0xffffffa09c3fff80
1788952749.506 6121 [*] [  3] tested 2500000 candidates, scanning=0xffffff988b824740
1788952749.507 6121 [*] [  0] tested 2300000 candidates, scanning=0xffffff80805921c0
1788952749.507 6121 [*] [  5] tested 2500000 candidates, scanning=0xffffffa88b824740
1788952749.508 6121 [*] [  4] tested 2900000 candidates, scanning=0xffffffa0a1d48f00
1788952749.509 6121 [*] [  2] tested 2500000 candidates, scanning=0xffffff908b824740
1788952749.510 6121 [*] [  1] tested 2100000 candidates, scanning=0xffffff88752fff80
1788952749.510 6121 [*] [  5] tested 2600000 candidates, scanning=0xffffffa89116da00
1788952749.511 6121 [*] [  7] tested 1900000 candidates, scanning=0xffffffb86a06da00
1788952749.511 6121 [*] [  6] tested 2500000 candidates, scanning=0xffffffb08b824740
1788952749.511 6121 [*] [  3] tested 2600000 candidates, scanning=0xffffff989116da00
1788952749.513 6121 [*] [  2] tested 2600000 candidates, scanning=0xffffff909116da00
1788952749.513 6121 [*] [  4] tested 3000000 candidates, scanning=0xffffffa0a76921c0
1788952749.514 6121 [*] [  5] tested 2700000 candidates, scanning=0xffffffa896ab6cc0
1788952749.514 6121 [*] [  0] tested 2400000 candidates, scanning=0xffffff8085edb480
1788952749.515 6121 [*] [  7] tested 2000000 candidates, scanning=0xffffffb86f9b6cc0
1788952749.516 6121 [*] [  6] tested 2600000 candidates, scanning=0xffffffb09116da00
1788952749.517 6121 [*] [  3] tested 2700000 candidates, scanning=0xffffff9896ab6cc0
1788952749.517 6121 [*] [  1] tested 2200000 candidates, scanning=0xffffff887ac48f00
1788952749.518 6121 [*] [  2] tested 2700000 candidates, scanning=0xffffff9096ab6cc0
1788952749.519 6121 [*] [  4] tested 3100000 candidates, scanning=0xffffffa0acfdb480
1788952749.519 6121 [*] [  1] tested 2300000 candidates, scanning=0xffffff88805921c0
1788952749.520 6121 [*] [  5] tested 2800000 candidates, scanning=0xffffffa89c3fff80
1788952749.521 6121 [*] [  7] tested 2100000 candidates, scanning=0xffffffb8752fff80
1788952749.521 6121 [*] [  0] tested 2500000 candidates, scanning=0xffffff808b824740
1788952749.522 6121 [*] [  2] tested 2800000 candidates, scanning=0xffffff909c3fff80
1788952749.522 6121 [*] [  4] tested 3200000 candidates, scanning=0xffffffa0b2924740
1788952749.522 6121 [*] [  6] tested 2700000 candidates, scanning=0xffffffb096ab6cc0
1788952749.524 6121 [*] [  5] tested 2900000 candidates, scanning=0xffffffa8a1d48f00
1788952749.525 6121 [*] [  0] tested 2600000 candidates, scanning=0xffffff809116da00
1788952749.526 6121 [*] [  3] tested 2800000 candidates, scanning=0xffffff989c3fff80
