===== preload.so crash-safe log =====
path=/storage/emulated/0/Download/.temp/log_1788945140.txt pid=9852 uid=2000
1788945140.870 9852 [+] preload starting pid=9852
1788945140.870 9852 [+] startup context pid=9852 uid=2000 euid=2000 gid=2000 egid=2000 attr=u:r:shell:s0 enforce=1
1788945140.871 9852 [+] build config pid=9852 label=pd2238_os6_163150_w10 slide=pselect main=pselect
1788945140.871 9852 [+] p0 profile pid=9852 phys_offset=0000000040000000 kernel_phys_load=0000000040000000 delta=0000000000000000 init_task=ffffffc00aaec240 root_tg=ffffffc00ad33100
1788945140.872 9852 [+] direct-map base=ffffff8040000000 slide=0000000000000000
1788945140.873 9852 [+] ckpt: WRITE-PROOF armed bootid_target=ffffff8002ee910d before=f2c10c54-0ff1-4225-9352-23a14501e182 (odd attempts: leaked page scratch, even attempts: this alias)
1788945144.370 9852 [*] parameters cpu (16) mm_struct sz (3c0) mm slab order (3) thread cnt (8) collisions (16) mte disabled
1788945146.551 9852 [*] pile-up verified: approx_time=1301
1788945146.552 9852 [*] start finding collisisons
1788945146.553 9852 [*] target    000000707b2ba0c8
1788945168.697 9852 [*] [  2] tested 900000 candidates, scanning=0xffffff90323921c0
1788945168.701 9852 [*] [  1] tested 1000000 candidates, scanning=0xffffff8837cdb480
1788945168.704 9852 [*] [  6] tested 900000 candidates, scanning=0xffffffb0323921c0
1788945168.706 9852 [*] [  3] tested 900000 candidates, scanning=0xffffff98323921c0
1788945168.710 9852 [*] [  4] tested 1000000 candidates, scanning=0xffffffa037cdb480
1788945168.725 9852 [*] [  7] tested 800000 candidates, scanning=0xffffffb82ca48f00
1788945168.725 9852 [*] [  0] tested 1300000 candidates, scanning=0xffffff80488b6cc0
1788945168.726 9852 [*] [  5] tested 900000 candidates, scanning=0xffffffa8323921c0
1788945168.734 9852 [*] [  1] tested 1100000 candidates, scanning=0xffffff883d624740
1788945168.736 9852 [*] [  2] tested 1000000 candidates, scanning=0xffffff9037cdb480
1788945168.737 9852 [*] [  6] tested 1000000 candidates, scanning=0xffffffb037cdb480
1788945168.738 9852 [*] [  3] tested 1000000 candidates, scanning=0xffffff9837cdb480
1788945168.741 9852 [*] [  4] tested 1100000 candidates, scanning=0xffffffa03d624740
1788945168.755 9852 [*] [  6] tested 1100000 candidates, scanning=0xffffffb03d624740
1788945168.755 9852 [*] [  3] tested 1100000 candidates, scanning=0xffffff983d624740
1788945168.743 9852 [*] [  7] tested 900000 candidates, scanning=0xffffffb8323921c0
1788945168.747 9852 [*] [  0] tested 1400000 candidates, scanning=0xffffff804e1fff80
1788945168.752 9852 [*] [  1] tested 1200000 candidates, scanning=0xffffff8842f6da00
1788945168.752 9852 [*] [  2] tested 1100000 candidates, scanning=0xffffff903d624740
1788945168.765 9852 [*] [  3] tested 1200000 candidates, scanning=0xffffff9842f6da00
1788945168.752 9852 [*] [  5] tested 1000000 candidates, scanning=0xffffffa837cdb480
1788945168.756 9852 [*] [  4] tested 1200000 candidates, scanning=0xffffffa042f6da00
1788945168.770 9852 [*] [  5] tested 1100000 candidates, scanning=0xffffffa83d624740
1788945168.760 9852 [*] [  6] tested 1200000 candidates, scanning=0xffffffb042f6da00
1788945168.761 9852 [*] [  7] tested 1000000 candidates, scanning=0xffffffb837cdb480
1788945168.793 9852 [*] [  6] tested 1300000 candidates, scanning=0xffffffb0488b6cc0
1788945168.764 9852 [*] [  0] tested 1500000 candidates, scanning=0xffffff8053b48f00
1788945168.767 9852 [*] [  1] tested 1300000 candidates, scanning=0xffffff88488b6cc0
1788945168.767 9852 [*] [  2] tested 1200000 candidates, scanning=0xffffff9042f6da00
1788945168.770 9852 [*] [  3] tested 1300000 candidates, scanning=0xffffff98488b6cc0
1788945168.771 9852 [*] [  4] tested 1300000 candidates, scanning=0xffffffa0488b6cc0
1788945168.773 9852 [*] [  5] tested 1200000 candidates, scanning=0xffffffa842f6da00
1788945168.810 9852 [*] [  7] tested 1100000 candidates, scanning=0xffffffb83d624740
1788945168.825 9852 [*] [  6] tested 1400000 candidates, scanning=0xffffffb04e1fff80
1788945168.828 9852 [*] [  0] tested 1600000 candidates, scanning=0xffffff80594921c0
1788945168.837 9852 [*] [  1] tested 1400000 candidates, scanning=0xffffff884e1fff80
1788945168.840 9852 [*] [  2] tested 1300000 candidates, scanning=0xffffff90488b6cc0
1788945168.843 9852 [*] [  3] tested 1400000 candidates, scanning=0xffffff984e1fff80
1788945168.847 9852 [*] [  4] tested 1400000 candidates, scanning=0xffffffa04e1fff80
1788945168.861 9852 [*] [  5] tested 1300000 candidates, scanning=0xffffffa8488b6cc0
1788945168.862 9852 [*] [  7] tested 1200000 candidates, scanning=0xffffffb842f6da00
1788945168.863 9852 [*] [  6] tested 1500000 candidates, scanning=0xffffffb053b48f00
1788945168.865 9852 [*] [  0] tested 1700000 candidates, scanning=0xffffff805eddb480
1788945168.865 9852 [*] [  1] tested 1500000 candidates, scanning=0xffffff8853b48f00
1788945168.868 9852 [*] [  2] tested 1400000 candidates, scanning=0xffffff904e1fff80
1788945168.871 9852 [*] [  3] tested 1500000 candidates, scanning=0xffffff9853b48f00
1788945168.873 9852 [*] [  4] tested 1500000 candidates, scanning=0xffffffa053b48f00
1788945168.875 9852 [*] [  5] tested 1400000 candidates, scanning=0xffffffa84e1fff80
1788945168.878 9852 [*] [  6] tested 1600000 candidates, scanning=0xffffffb0594921c0
1788945168.878 9852 [*] [  0] tested 1800000 candidates, scanning=0xffffff8064724740
1788945168.880 9852 [*] [  7] tested 1300000 candidates, scanning=0xffffffb8488b6cc0
1788945168.883 9852 [*] [  2] tested 1500000 candidates, scanning=0xffffff9053b48f00
1788945168.883 9852 [*] [  3] tested 1600000 candidates, scanning=0xffffff98594921c0
1788945168.883 9852 [*] [  1] tested 1600000 candidates, scanning=0xffffff88594921c0
1788945168.886 9852 [*] [  4] tested 1600000 candidates, scanning=0xffffffa0594921c0
1788945168.889 9852 [*] [  6] tested 1700000 candidates, scanning=0xffffffb05eddb480
1788945168.892 9852 [*] [  0] tested 1900000 candidates, scanning=0xffffff806a06da00
1788945168.896 9852 [*] [  7] tested 1400000 candidates, scanning=0xffffffb84e1fff80
1788945168.923 9852 [*] [  7] tested 1500000 candidates, scanning=0xffffffb853b48f00
1788945168.904 9852 [*] [  2] tested 1600000 candidates, scanning=0xffffff90594921c0
1788945168.904 9852 [*] [  5] tested 1500000 candidates, scanning=0xffffffa853b48f00
1788945168.908 9852 [*] [  3] tested 1700000 candidates, scanning=0xffffff985eddb480
1788945168.908 9852 [*] [  1] tested 1700000 candidates, scanning=0xffffff885eddb480
1788945168.913 9852 [*] [  4] tested 1700000 candidates, scanning=0xffffffa05eddb480
1788945168.916 9852 [*] [  6] tested 1800000 candidates, scanning=0xffffffb064724740
1788945168.919 9852 [*] [  0] tested 2000000 candidates, scanning=0xffffff806f9b6cc0
1788945168.928 9852 [*] [  7] tested 1600000 candidates, scanning=0xffffffb8594921c0
1788945168.932 9852 [*] [  2] tested 1700000 candidates, scanning=0xffffff905eddb480
1788945168.936 9852 [*] [  5] tested 1600000 candidates, scanning=0xffffffa8594921c0
1788945168.939 9852 [*] [  3] tested 1800000 candidates, scanning=0xffffff9864724740
1788945168.941 9852 [*] [  1] tested 1800000 candidates, scanning=0xffffff8864724740
1788945168.945 9852 [*] [  4] tested 1800000 candidates, scanning=0xffffffa064724740
1788945168.948 9852 [*] [  6] tested 1900000 candidates, scanning=0xffffffb06a06da00
1788945168.949 9852 [*] [  0] tested 2100000 candidates, scanning=0xffffff80752fff80
1788945168.951 9852 [*] [  7] tested 1700000 candidates, scanning=0xffffffb85eddb480
1788945168.954 9852 [*] [  2] tested 1800000 candidates, scanning=0xffffff9064724740
1788945168.962 9852 [*] [  5] tested 1700000 candidates, scanning=0xffffffa85eddb480
